time-step,queue-sys-id,num-jobs-in-queue,num-jobs-in-service,num-of-errors
0,q0,4,1,0
1,q0,8,1,0
2,q0,14,1,0
3,q0,22,1,0
4,q0,26,1,0
5,q0,30,1,0
6,q0,38,1,0
7,q0,44,1,0
8,q0,48,1,0
9,q0,53,1,0
10,q0,57,1,0
11,q0,61,1,0
12,q0,66,1,0
13,q0,67,1,0
14,q0,68,1,0
15,q0,71,1,0
16,q0,73,1,0
17,q0,78,1,0
18,q0,81,1,0
19,q0,82,1,0
20,q0,89,1,0
21,q0,93,1,0
22,q0,98,1,0
23,q0,100,1,0
24,q0,103,1,0
25,q0,108,1,0
26,q0,110,1,0
27,q0,115,1,0
28,q0,118,1,0
29,q0,121,1,0
30,q0,124,1,0
31,q0,132,1,0
32,q0,136,1,0
33,q0,138,1,0
34,q0,144,1,0
35,q0,146,1,0
36,q0,151,1,0
37,q0,152,1,0
38,q0,154,1,0
39,q0,158,1,0
40,q0,164,1,0
41,q0,169,1,0
42,q0,173,1,0
43,q0,177,1,0
44,q0,179,1,0
45,q0,182,1,0
46,q0,186,1,0
47,q0,193,1,0
48,q0,198,1,0
49,q0,198,1,0
50,q0,203,1,0
51,q0,207,1,0
52,q0,210,1,0
53,q0,216,1,0
54,q0,223,1,0
55,q0,229,1,0
56,q0,232,1,0
57,q0,236,1,0
58,q0,241,1,0
59,q0,246,1,0
60,q0,250,1,0
61,q0,254,1,0
62,q0,256,1,0
63,q0,258,1,0
64,q0,264,1,0
65,q0,271,1,0
66,q0,275,1,0
67,q0,282,1,0
68,q0,287,1,0
69,q0,289,1,0
70,q0,294,1,0
71,q0,302,1,0
72,q0,306,1,0
73,q0,314,1,0
74,q0,314,1,0
75,q0,320,1,0
76,q0,325,1,0
77,q0,329,1,0
78,q0,334,1,0
79,q0,334,1,0
80,q0,338,1,0
81,q0,343,1,0
82,q0,350,1,0
83,q0,353,1,0
84,q0,356,1,0
85,q0,359,1,0
86,q0,365,1,0
87,q0,370,1,0
88,q0,373,1,0
89,q0,378,1,0
90,q0,383,1,0
91,q0,389,1,0
92,q0,392,1,0
93,q0,396,1,0
94,q0,400,1,0
95,q0,402,1,0
96,q0,407,1,0
97,q0,412,1,0
98,q0,417,1,0
99,q0,420,1,0
100,q0,422,1,0
101,q0,422,1,0
102,q0,422,1,0
103,q0,422,1,0
104,q0,422,1,0
105,q0,422,1,0
106,q0,422,1,0
107,q0,422,1,0
108,q0,422,1,0
109,q0,421,1,0
110,q0,421,1,0
111,q0,421,1,0
112,q0,421,1,0
113,q0,421,1,0
114,q0,421,1,0
115,q0,421,1,0
116,q0,421,1,0
117,q0,421,1,0
118,q0,421,1,0
119,q0,420,1,0
120,q0,420,1,0
121,q0,420,1,0
122,q0,420,1,0
123,q0,420,1,0
124,q0,420,1,0
125,q0,420,1,0
126,q0,420,1,0
127,q0,420,1,0
128,q0,420,1,0
129,q0,419,1,0
130,q0,419,1,0
131,q0,419,1,0
132,q0,419,1,0
133,q0,419,1,0
134,q0,419,1,0
135,q0,419,1,0
136,q0,419,1,0
137,q0,419,1,0
138,q0,419,1,0
139,q0,418,1,0
140,q0,418,1,0
141,q0,418,1,0
142,q0,418,1,0
143,q0,418,1,0
144,q0,418,1,0
145,q0,418,1,0
146,q0,418,1,0
147,q0,418,1,0
148,q0,418,1,0
149,q0,417,1,0
150,q0,417,1,0
151,q0,417,1,0
152,q0,417,1,0
153,q0,417,1,0
154,q0,417,1,0
155,q0,417,1,0
156,q0,417,1,0
157,q0,417,1,0
158,q0,417,1,0
159,q0,416,1,0
160,q0,416,1,0
161,q0,416,1,0
162,q0,416,1,0
163,q0,416,1,0
164,q0,416,1,0
165,q0,416,1,0
166,q0,416,1,0
167,q0,416,1,0
168,q0,416,1,0
169,q0,415,1,0
170,q0,415,1,0
171,q0,415,1,0
172,q0,415,1,0
173,q0,415,1,0
174,q0,415,1,0
175,q0,415,1,0
176,q0,415,1,0
177,q0,415,1,0
178,q0,415,1,0
179,q0,414,1,0
180,q0,414,1,0
181,q0,414,1,0
182,q0,414,1,0
183,q0,414,1,0
184,q0,414,1,0
185,q0,414,1,0
186,q0,414,1,0
187,q0,414,1,0
188,q0,414,1,0
189,q0,413,1,0
190,q0,413,1,0
191,q0,413,1,0
192,q0,413,1,0
193,q0,413,1,0
194,q0,413,1,0
195,q0,413,1,0
196,q0,413,1,0
197,q0,413,1,0
198,q0,413,1,0
199,q0,412,1,0
